key,context,en,de,es,fr,pt,it,nl,pl,ru,ja,zh,pt_BR,bg,cs,da,et,fi,el,hu,lv,lt,ro,sk,sl,sv,hi,af,sq,am,ar,hy,az,bn,eu,be,my,ca,hr,is,id,kn,kk,km,ko,ky,lo,mk,ms,ml,mn,ne,no,fa,pa,rm,si,ta,te,th,tr,uk,ur,vi,zu,fil,gl,ka,he,sr,gu,sw
2_week,,2nd week,2. Woche,Segunda semana,2e semaine,2ª semana,seconda settimana,2de week,2. tydzień,2-я неделя,2週目,第二周,2ª semana,втора седмица,2. týden,2. uge,2. nädal,2. viikko,2η εβδομάδα,2. hét,2. nedēļa,2 savaitė,a doua săptămână,2. týždeň,2. teden,andra veckan,दूसरा सप्ताह,2de week,java e dytë,ሁለተኛ ሳምንት,الأسبوع الثاني,2րդ շաբաթ,2-ci həftə,2য় সপ্তাহ,2. astea,2 тыдзень,ဒုတိယ အပတ်,2a setmana,drugi tjedan,2. vika,Minggu kedua,ಎರಡನೇ ವಾರ,2-ші апта,សប្ដាហ៍ទី២,2주차,2-жума,ອາທິດທີ່ 2,втора недела,Minggu kedua,രണ്ടാം ആഴ്ച,2-р долоо хоног,दोस्रो हप्ता,2. uke,هفته دوم,ਦੂਜਾ ਹਫ਼ਤਾ,2. emna,2 වන සතිය,2வது வாரம்,రెండవ వారం,สัปดาห์ที่ 2,2. hafta,2-й тиждень,دوسرا ہفتہ,Tuần thứ hai,Isonto lesibili,Ikalawang linggo,2ª semana,მეორე კვირა,שבוע שני,Druga nedelja,બીજા અઠવાડિયે,Wiki ya pili
3_week,,3th week,3. Woche,3.ª semana,3e semaine,3ª semana,3a settimana,3e week,3. tydzień,3-я неделя,3週目,第三周,3ª semana,Трета седмица,3. týden,3. uge,3. nädal,3. viikko,3η εβδομάδα,3. hét,3. nedēļa,3 savaitė,a treia săptămână,3. týždeň,3. teden,3:e veckan,तीसरा सप्ताह,3de week,Java e 3-të,ሶስተኛ ሳምንት,الأسبوع الثالث,3րդ շաբաթ,3-cü həftə,৩য় সপ্তাহ,3. astea,Трэці тыдзень,တတိယအပတ်,3a setmana,3. tjedan,3. vika,Minggu ke-3,ಮೂರನೇ ವಾರ,3-ші апта,សប្ដាហ៍ទី៣,3주째,3-жума,ອາທິດທີ 3,3-та недела,Minggu ke-3,3-ആം ആഴ്ച,3 долоо хоног,तेस्रो हप्ता,3. uke,هفته سوم,ਤੀਜਾ ਹਫਤਾ,3. emna,3 වන සතිය,3வது வாரம்,మూడవ వారం,สัปดาห์ที่ 3,3. hafta,3-й тиждень,تیسرا ہفتہ,tuần thứ 3,Isonto lesithathu,Ikatlong linggo,3ª semana,მესამე კვირა,שבוע שלישי,3. nedelja,ત્રીજા અઠવાડિયું,Wiki ya 3
4_week,,4th week,4. Woche,cuarta semana,4ème semaine,4ª semana,4ª settimana,4e week,4. tydzień,4-я неделя,第4週,第四周,4ª semana,четвърта седмица,4. týden,4. uge,4. nädal,4. viikko,4η εβδομάδα,4. hét,4. nedēļa,4 savaitė,a patra săptămână,4. týždeň,4. teden,4:e veckan,चौथा सप्ताह,4de week,Java e katërt,አራተኛ ሳምንት,الأسبوع الرابع,4-րդ շաբաթ,4-cü həftə,৪র্থ সপ্তাহ,4. astea,4-ы тыдзень,ပဥ္စမ အပတ်,4a setmana,4. tjedan,4. vika,Minggu ke-4,ನಾಲ್ಕನೇ ವಾರ,4-ші апта,សប្តាហ៍ទី៤,4주차,4-жума,ອາທິດທີ 4,четврта недела,Minggu ke-4,നാലാം ആഴ്ച,4 дэх долоо хоног,चौथो हप्ता,4. uke,هفته چهارم,ਚੌਥਾ ਹਫ਼ਤਾ,4. emna,4 වන සතිය,4வது வாரம்,4వ వారం,สัปดาห์ที่ 4,4. hafta,4-й тиждень,چوتھا ہفتہ,Tuần thứ tư,Iviki lesine,ika-4 na linggo,4ª semana,მეოთხე კვირა,שבוע רביעי,4. nedelja,ચોથું અઠવાડિયું,Wiki ya nne
5_week,,Last week,Letzte Woche,La semana pasada,La semaine dernière,Semana passada,La settimana scorsa,Vorige week,W zeszłym tygodniu,На прошлой неделе,先週,上周,Semana passada,Миналата седмица,Minulý týden,Sidste uge,Eelmine nädal,Viime viikko,Προηγούμενη εβδομάδα,Múlt héten,Pagājušajā nedēļā,Praėjusią savaitę,Săptămâna trecută,Minulý týždeň,Prejšnji teden,Förra veckan,पिछले सप्ताह,Verlede week,Java e kaluar,ባለፈው ሳምንት,الأسبوع الماضي,Անցած շաբաթ,Keçən həftə,গত সপ্তাহে,Aurreko astean,Мінулы тыдзень,ပြီးခဲ့သော အပတ်,La setmana passada,Prošli tjedan,Í síðustu viku,Minggu lalu,ಕಳೆದ ವಾರ,Өткен апта,សប្តាហ៍មុន,지난 주,Өткөн апта,ອາທິດກ່ອນຫຼ້າສຸດ,Минатата недела,Minggu lepas,കഴിഞ്ഞ ആഴ്ച,Өнгөрсөн долоо хоног,गत हप्ता,Forrige uke,هفته گذشته,ਪਿਛਲੇ ਹਫ਼ਤੇ,Emna passada,පසුගිය සතියේ,கடந்த வாரம்,గత వారం,สัปดาห์ที่แล้ว,Geçen hafta,Минулого тижня,گزشتہ ہفتہ,Tuần trước,Iviki eledlule,Nakaraang linggo,A semana pasada,გასული კვირა,השבוע שעבר,Prošle nedelje,ગયા અઠવાડિયે,Wiki iliyopita
for_s,,for %s,für %s,para %s,pour %s,para %s,per %s,voor %s,na %s,на %s,「%s」のために,对于%s,%s,за %s,pro %s,til %s,%siks,%s,για το %s,%s,priekš %s,dėl %s,"pentru ""%s”",na %s,za %s,för %s,%s के लिए,vir %s,për %s,ለ%s,لـ %s,%s-ի համար,%s üçün,%s জন্য,%sentzat,на %s,%s အတွက်,per %s,za %s,fyrir %s,untuk %s,%sಕ್ಕಾಗಿದ್ದು,%s мерекесіне,សម្រាប់ %s,%s 의 경우,үчүн %s,ສຳຫຼັບ %s,за %s,untuk %s,%s എന്ന്,%s-д зориулсан,%s को लागी,for %s,برای %s,ਲਈ %s,per %s,%s සඳහා,%s க்காக,%s కోసం,สำหรับ %s,%s için,на %s,%s کیلئے,cho %s,u%s,para sa %s,para %s,%s დღის მისასალმებელი,עבור %s,za %s,%s માટે,kwa %s
in_s,,in %s,in %s,en %s,en %s,em %s,in %s,op %s,w %s,в %s,%sで,"在 ""%s 年""",em %s,в %s,na %s,i %s,"""%sis""","""%sissa""",στο %s,%s napján,%s laikā,%s metu,în %s,na %s,v %s,i %s,में %s,in %s,në %s,በ%s,في %s,%s ժամանակ,%s günündə,%s এ,%sean,у %s,%s တွင်,en %s,u %s,í %s,pada %s,%sನಲ್ಲಿ,%s күнінде,នៅ %s,%s에서,%s дегенде,ໃນ %s,во %s,pada %s,%s ൽ,%s дэх,%sमा,i %s,در %s,ਵਿੱਚ %s,en %s,"""'%s' හි""",%s இல்,%sలో,ใน %s,%s'de,на %s,میں %s,trong %s,ku %s,sa %s,en %s,%s-ში,ב%s,u %s,%s માં,katika %s
for_n_events,,for %d events,für %d Termine,para %d eventos,pour %d événements,para %d eventos,per %d eventi,voor %d evenementen,dla %d wydarzeń,для %d событий,%d件のイベントのために,%d个活动,para %d eventos,за %d събития,pro %d událostí,for %d begivenheder,%d sündmuse jaoks,%d tapahtumalle,για %d εκδηλώσεις,%d eseményre,par %d pasākumiem,%d renginiams,pentru %d de evenimente,pre %d udalostí,za %d dogodkov,för %d evenemang,%d घटनाओं के लिए,vir %d gebeurtenisse,për %d ngjarje,ለ %d ክስተቶች,لـ %d حدثًا,%d միջոցառումների համար,%d tədbir üçün,%dটি ইভেন্টের জন্য,%d gertaeretarako,для %d падзей,%d ပွဲများအတွက်,per a %d esdeveniments,za %d događaja,fyrir %d viðburði,untuk %d kejadian,%d ಘಟನೆಗಳಿಗಾಗಿ,%d оқиға үшін,សម្រាប់ព្រឹត្តិការណ៍ %d,%d개의 이벤트에 대해,%d иш-чаралар үчүн,ເພື່ອກິດຈະກຳ %d ກິດ,за %d настани,untuk %d acara,%d ഇവന്റുകൾക്ക്,%d үйл явдлын хувьд,%d घटनाहरूका लागि,for %d hendelser,برای %d رویداد,%d ਘਟਨਾਵਾਂ ਲਈ,per %d eveniments,සිදුවීම් %d සඳහා,%d நிகழ்வுகளுக்காக,%d సంఘటనల కోసం,สำหรับ %d เหตุการณ์,%d etkinlik için,для %d подій,%d واقعات کے لئے,cho %d sự kiện,yezehlakalo ezingu-%d,para sa %d na kaganapan,para %d eventos,%d ღონისძიებისთვის,ל-%d אירועים,za %d događaja,%d ઇવેન્ટ્સ માટે,kwa matukio %d
until_s,Monday,until %s,bis %s,hasta %s,jusqu'à %s,até %s,fino a %s,tot %s,do %s,до %s,%sまで,直到 %s,até %s,до %s,do %s,indtil %s,kuni %s,asti %s,μέχρι %s,hétfőig %s,līdz %s,iki %s,până %s,do %s,do %s,till %s,%s तक,tot %s,deri të %s,እስከ %s ድረስ,حتى %s,մինչ %s,%sədək,%s পর্যন্ত,%s arte,да %s,%s အထိ,fins a %s,do %s,til %s,hingga %s,%s ತನಕ,%s дейін,រហូតដល់ %s,%s까지,%s чейин,ຈົນຮອດ %s,до %s,sehingga %s,വരെ %s,%s хүртэл,%s सम्म,til %s,تا %s,ਤੱਕ %s,fin %s,%s දක්වා,%s வரை,ఒకవేళ %s,จนถึง%s,%sye kadar,до %s,تک %s,đến %s,kuze kube %s,hanggang %s,ata %s,Ხუთამდე %s,עד %s,do %s,સુધી %s,hadi %s
on_s,Monday,on %s,am %s,el %s,le %s,na %s,di %s,op %s,w %s,в %s,%sに,在%s,na %s,в %s,v %s,på %s,%s,maanantaina %s,τη %s,%s,%s,an %s,în %s,v %s,na %s,på %s,%s को,op %s,të %s,እንደ %s,يوم %s,%s օրը,%s günü,%s দিনে,%s(e)an,у %s,%sတွင်,el %s,u %s,á %s,pada %s,%s ಎಂದು,%s күні,នៅលើ %s,%s에,%s күнү,ໃນ %s,на %s,pada %s,%s നാണ്,%s гарагт,%s मा,på %s,در %s,%s ਨੂੰ,da %s,%s දින,%s அன்று,%s,ใน %s,%s günü,у %s,بروز %s,vào %s,ngo-%s,sa %s,o %s,%s ორშაბათს,בי %s,u %s,%s નાં,siku ya %s
n_minutes,,%d minutes,%d Minuten,%d minutos,%d minutes,%d minutos,%d minuti,%d minuten,%d minut,%d минут,%d分,%d分钟,%d minutos,%d минути,%d minut,%d minutter,%d minutit,%d minuuttia,%d λεπτά,%d perc,%d minūtes,%d minutės,%d de minute,%d minút,%d minut,%d minuter,%d मिनट,%d minute,%d minuta,%d ደቂቃዎች,%d دقيقة,%d րոպե,%d dəqiqə,%d মিনিট,%d minutu,%d хвілін,%d မိနစ်,%d minuts,%d minuta,%d mínútur,%d menit,%d ನಿಮಿಷಗಳು,%d минут,%d នាទី,%d분,%d мүнөт,%d ນາທີ,%d минути,%d minit,%d മിനിറ്റ്,%d минут,%d मिनेट,%d minutter,%d دقیقه,%d ਮਿੰਟਾਂ,%d minutas,මිනිත්තු %d,%d நிமிடங்கள்,%d నిమిషాలు,%d นาที,%d dakika,%d хвилин,%d منٹ,%d phút,amaminithi angu-%d,%d minuto,%d minutos,%d წუთი,%d דקות╗,%d minuta,%d મિનિટ,Dakika %d
n_hours,,%d hours,%d Stunden,%d horas,%d heures,%d horas,%d ore,%d uur,%d godzin,%d часов,%d時間,%d小时,%d horas,%d часа,%d hodin,%d timer,%d tundi,%d tuntia,%d ώρες,%d óra,%d stundas,%d valandos,%d de ore,%d hodín,%d ur,%d timmar,%d घंटे,%d ure,%d orë,%d ሰዓታት,%d ساعة,%d ժամ,%d saat,%d ঘন্টা,%d ordu,%d гадзін,%d နာရီ,%d hores,%d sati,%d klukkustundir,%d jam,%d ಗಂಟೆಗಳು,%d сағат,%d ម៉ោង,%d시간,%d саат,ເປັນເວລາ %d ຊົ່ວໂມງ,%d часа,%d jam,%d മണിക്കൂർ,%d цаг,%d घण्टा,%d timer,%d ساعت,%d ਘੰਟੇ,%d uras,%d පැය,%d மணி நேரம்,%d గంటలు,%d ชั่วโมง,%d saat,%d годин,%d گھنٹے,%d giờ,Amahora angama-%d,%d na oras,%d horas,%d საათი,%d שעות,%d sati,%d કલાકો,%d saa
n_days,,%d days,%d Tage,%d días,%d jours,%d dias,%d giorni,%d dagen,%d dni,%d дней,%d日間,%d天,%d dias,%d дни,%d dní,%d dage,%d päeva,%d päivää,%d ημέρες,%d nap,%d dienas,%d dienos,%d de zile,%d dní,%d dni,%d dagar,%d दिन,%d dae,%d ditë,%d ቀናት,%d يوما,%d օրեր,%d gün,%d দিন,%d egun,%d дзён,%d ရက်,%d dies,%d dana,%d dagar,%d hari,%d ದಿನಗಳು,%d күн,%d ថ្ងៃ,%d일,%d күн,%d ມື້,%d дена,%d hari,%d ദിവസങ്ങൾ,%d хоног,%d दिनहरू,%d dager,%d روز,%d ਦਿਨ,%d dischdi,දින %d,%d நாட்கள்,%d రోజులు,%d วัน,%d gün,%d днів,%d دن,%d ngày,Izinsuku ezingama-%d,%d na araw,%d días,%d დღე,%d ימים,%d дана,%d દિવસ,siku %d
n_weeks,,%d weeks,%d Wochen,%d semanas,%d semaines,%d semanas,%d settimane,%d weken,%d tygodni,%d недель,%d週間,%d周,%d semanas,%d седмици,%d týdnů,%d uger,%d nädalat,%d viikkoa,%d εβδομάδες,%d hét,%d nedēļas,%d savaitės,%d de săptămâni,%d týždňov,%d tednov,%d veckor,%d सप्ताह,%d weke,%d javë,%d ሳምንታት,%d أسبوعًا,%d շաբաթ։,%d həftə,%d সপ্তাহ,%d aste,%d тыдняў,%d ပတ်,%d setmanes,%d tjedana,%d vikur,%d minggu,%d ವಾರಗಳು,%d апта,%d សប្តាហ៍,%d주 동안,%d жума,%d ອາທິດ,%d недели,%d minggu,%d ആഴ്ചകൾ,%d долоо хоног,%d हप्ता।,%d uker,%d هفته,%d ਹਫ਼ਤੇਮail,%d emnas,සති %dක්,%d வாரங்கள்,%d వారాలు,%d สัปดาห์,%d hafta,%d тижнів,%d ہفتے,%d tuần,Izinsuku ezingu-%d,%d na linggo,%d semanas,%d კვირა,%d שבועות,%d nedelja,%d અઠવાડિયાં,Wiki %d
1_minutes,,1 minute,1 Minute,1 minuto,1 minute,1 minuto,1 minuto,1 minuut,1 minuta,1 минута,1分,1分钟,1 minuto,1 минута,1 minuta,1 minut,1 minut,1 minuutti,1 λεπτό,1 perc,1 minūte,1 minutė,1 minut,1 minútu,1 minuta,1 minut,1 मिनट,1 minuut,1 minutë,አንድ ደቂቃ,دقيقة واحدة,1 րոպե,1 dəqiqə,১ মিনিট,1 minutu,1 хвіліна,၁ မိနစ်,1 minut,1 minuta,1 mínúta,1 menit,1 ನಿಮಿಷ,1 минут,១នាទី,1분,1 мүнөт,1 ນາທີ,1 минута,1 minit,1 മിനിറ്റ്,1 минут,१ मिनेट,1 minutt,۱ دقیقه,1 ਮਿੰਟ,1 minuta,මිනිත්තුවක්,1 நிமிடம்,1 నిమిషం,1 นาที,1 dakika,1 хвилина,1 منٹ,1 phút,umzuzu owodwa,1 minuto,1 minuto,1 წუთი,דקה אחת,1 minut,1 મિનિટ,Dakika 1
1_hours,,1 hour,1 Stunde,1 hora,1 heure,1 hora,1 ora,1 uur,1 godzina,1 час,1時間,1小时,1 hora,1 час,1 hodina,1 time,1 tund,1 tunti,1 ώρα,1 óra,1 stunda,1 valanda,1 oră,1 hodina,1 ura,1 timme,1 घंटा,1 uur,1 orë,አንድ ሰዓት,ساعة واحدة,1 ժամ,1 saat,১ ঘন্টা,1 ordu,1 гадзіна,၁ နာရီ,1 hora,1 sat,1 klukkustund,1 jam,1 ಗಂಟೆ,1 сағат,១ ម៉ោង,1시간,1 саат,1 ຊົ່ວໂມງ,1 час,1 jam,1 മണിക്കൂർ,1 цаг,१ घण्टा,1 time,1 ساعت,1 ਘੰਟਾ,1 ura,පැය 1,1 மணி நேரம்,1 గంటలు,1 ชั่วโมง,1 saat,1 година,1 گھنٹہ,1 giờ,ihora eli-1,1 oras,1 hora,1 საათი,שעה אחת,1 sat,1 કલાક,Saa 1
1_days,,1 day,1 Tag,1 día,1 jour,1 dia,1 giorno,1 dag,1 dzień,1 день,1日,1天,1 dia,1 ден,1 den,1 dag,1 päev,1 päivä,1 ημέρα,1 nap,1 diena,1 diena,1 zi,1 deň,1 dan,1 dag,1 दिन,1 dag,1 ditë,አንድ ቀን,يوم واحد,1 օր,1 gün,১ দিন,egun 1,1 дзень,တစ်ရက်,1 dia,1 dan,1 dagur,1 hari,1 ದಿನ,1 күн,១ ថ្ងៃ។,1일,1 күн,1 ມື້,1 ден,1 hari,1 ദിവസം,1 өдөр,१ दिन,1 dag,۱ روز,1 ਦਿਨ,1 di,දින 1,1 நாள்,1 రోజు,1 วัน,1 gün,1 день,1 دن,1 ngày,usuku olulodwa,1 araw,1 día,1 დღე,יום אחד,1 dan,૧ દિવસ,siku 1
1_weeks,,1 week,1 Woche,1 semana,1 semaine,1 semana,1 settimana,1 week,1 tydzień,1 неделя,1週間,1周,1 semana,1 седмица,1 týden,1 uge,1 nädal,1 viikko,1 εβδομάδα,1 hét,1 nedēļa,1 savaitė,1 săptămână,1 týždeň,1 teden,1 vecka,1 सप्ताह,1 week,1 javë,1 ሳምንት,أسبوع واحد,1 շաբաթ,1 həftə,১ সপ্তাহ,aste 1,1 тыдзень,၁ ပတ်,1 setmana,1 tjedan,1 vika,1 minggu,1 ವಾರ,1 апта,១ សប្ដាហ៍,1주일,1 жума,1 ອາທິດ,1 недела,1 minggu,1 ആഴ്ച,1 долоо хоног,१ हप्ता,1 uke,۱ هفته,1 ਹਫ਼ਤਾ,1 emna,සතියක්,1 வாரம்,1 వారం,1 สัปดาห์,1 hafta,1 тиждень,1 ہفتہ,1 tuần,iviki eli-1,1 linggo,1 semana,1 კვირა,שבוע 1,1 nedelja,1 અઠવાડિયું,wiki 1
add,,Add,Hinzufügen,Agregar,Ajouter,Adicionar,Aggiungi,Toevoegen,Dodaj,Добавить,追加する,添加,Adicionar,Добави,Přidat,Tilføj,Lisa,Lisää,Προσθήκη,Hozzáadás,Pievienot,Pridėti,Adaugă,Pridať,Dodajтехнологии,Lägg till,जोड़ें,Voeg by,Shto,ጨምር,إضافة,Ավելացնել,Əlavə et,যুক্ত করুন,Gehitu,Дадаць,ထည့်ပါ။,Afegir,Dodaj,Bæta við,Tambahkan,ಸೇರಿಸಿ,Қосу,បន្ថែម,추가하기,Кошуу,ເພີ່ມ,Додајте,Tambah,ചേർക്കുക,Нэмэх,थप्नुहोस्,Legg til,افزودن,ਜੋੜੋ,Agiuntar,එකතු කරන්න,சேர்,జోడించు,เพิ่ม,Ekle,Додати,شامل کریں,Thêm,Engeza,Magdagdag,Engadir,დამატება,הוסף,Dodajте,ઉમેરો,Ongeza
custom_recurrency_rule,,Recurrence rule,Wiederholungsregel,Regla de recurrencia,Règle de récurrence,Regra de recorrência,Regola di ricorrenza,Herhalingsregel,Reguła powtarzania,Правило повторения,繰り返し規則,重复规则,Regra de recorrência,Правило за повторение,Pravidlo opakování,Gentagelsesregel,Korduvuse reegel,Toistumissääntö,Κανόνας επανάληψης,Ismétlődési szabály,Atkārtošanās noteikums,Pasikartojimo taisyklė,Regulă de recurență,Pravidlo opakovania,Ponovitveno pravilo,Återkommande regel,पुनरावृत्ति नियम,Herhalingsreël,Rregulla e përsëritjes,የስንት ጊዜ መመለሻ ህግ,قاعدة التكرار,Պարզունակության կանոն,Təkrarlama qaydası,পুনরাবৃত্তি নিয়ম,Errepikapen araua,Правіла паўтарэння,ပြန်လည်ပြုလုပ်မှုစည်းမျဉ်း,Regla de recurrència,Pravilo ponavljanja,Endurtekningarregla,Aturan pengulangan,ಪುನರಾವೃತ್ತಿ ನಿಯಮ,Қайталану ережесі,ច្បាប់កើតឡើងឡើងវិញ,반복 규칙,Кайталоо эрежеси,ກົດລະບຽດການແກ້ໄຂ,Правило за повторување,Peraturan berulang,ആവൃത്തി നിയമം,Давтамжийн дүрэм,पुनरावृत्ति नियम,Gjentakelsesregel,قانون تکرار,ਦੁਹਰਾਉਣ ਦਾ ਨਿਯਮ,Regla da repetiziun,නැවත ඇතිවීමේ නීතිය,மீண்டும் நிகழும் விதி,పునరావృత్తి నియమం,กฎการเกิดซ้ำ,Tekrar kuralı,Правило повторення,دہرانے کا اصول,Quy tắc lặp lại,Umthetho wokuphindaphinda,Tuntunin ng pag-uulit,Regra de recorrencia,განმეორებითი წესი,כלל חזרה,Pravilo ponavljanja,પુનરાવૃત્તિ નિયમ,Sheria ya kurudia
repeat_every,,Repeat every,Wiederhole alle,Repetir cada,Répéter tous les,Repetir a cada,Ripeti ogni,Herhaal elke,Powtarzaj co,Повторять каждые,繰り返す間隔：毎,重复每个,Repetir a cada,Повтаряй всеки,Opakovat každý,Gentag hver,Korda iga,Toista joka,Επανάλαβε κάθε,Ismétlődik minden,Atkārtot katru,Kartoti kas,Repetă în fiecare,Opakovať každý,Ponovi vsak,Upprepa varje,हर बार दोहराएं,Herhaal elke,Përsërit çdo,በየ,كرر كل,Կրկնել յուրաքանչյուր,Hər birini təkrar et,প্রতি পুনরাবৃত্তি,Errepikatu hilean zehar,Паўтараць кожны,အခါတိုင်း ထပ်ခါတလဲလဲ,Repeteix cada,Ponovi svaki,Endurtaka hvert,Ulangi setiap,ಪ್ರತಿ ಬಾರಿ ಪುನರಾವರ್ತಿಸಿ,Қайталау әр,ធ្វើម្ដងរាល់,매번 반복,Кайталай берет,ຊ້ຳອີກທຸກๆ,Повтори секој,Ulangi setiap,ഓരോ ൽ ആവര്‍ത്തിക്കുക,Бүр давтах бүрт,प्रत्येक दोहोर्याउनुहोस्,Gjenta hver,تکرار هر,ਹਰ ਵਾਰ ਦੁਹਰਾਓ,Repetir mintga,සෑම විටම නැවත නැවතත්,ஒவ்வொருவரும் மீண்டும்,ప్రతిసారీ పునరావృతం చేయి,ทุกๆ,Her tekrarla,Повторювати кожні,ہر بار دہرائیں,Lặp lại mỗi,Phinda njalo,Ulitin tuwing,Repetir cada,გაიმეორება თითოეული,חזור כל,Ponavljaj svakog,દરેક પુનરાવર્તન કરો,Rudia kila
day_of_month,,Day of month,Tag des Monats,Día del mes,Jour du mois,Dia do mês,Giorno del mese,Dag van de maand,Dzień miesiąca,День месяца,月の日付,月份中的日子,Dia do mês,Ден от месеца,Den v měsíci,Dag i måneden,Kuu päev,Kuukauden päivä,Ημέρα του μήνα,Hónap napja,Mēneša diena,Mėnesio diena,Ziua din lună,Deň v mesiaci,Dan v mesecu,Dag i månaden,महीने का दिन,Dag van die maand,Dita e muajit,የወሩ ቀን,يوم من الشهر,Ամսվա օրը,Ayın günü,মাসের দিন,Hilabetearen eguna,Дзень месяца,လအတွင်းရက်စွဲ,Dia del mes,Dan u mjesecu,Dagur mánaðar,Hari dalam bulan,ತಿಂಗಳ ದಿನ,Ай күні,ថ្ងៃនៃខែ,월의 날짜,Айдын күнү,ວັນຂອງເດືອນ,Ден од месецот,Hari dalam bulan,മാസത്തിലെ ദിവസം,Сарын өдөр,महिनाको दिन,Dag i måneden,روز ماه,ਮਹੀਨੇ ਦਾ ਦਿਨ,Di dal mais,මාසයේ දිනය,மாதத்தின் நாள்,నెలలో రోజు,วันของเดือน,Ayın günü,День місяця,مہینے کا دن,Ngày trong tháng,Usuku lwanyanga,Araw ng buwan,Día do mes,თვის დღე,יום בחודש,Dan u mesecu,મહિનાનો દિવસ,Siku ya mwezi
week_of_month,,Week of month,Woche des Monats,Semana del mes,Semaine du mois,Semana do mês,Settimana del mese,Week van de maand,Tydzień miesiąca,Неделя месяца,月の週,月中周次,Semana do mês,Седмица от месеца,Týden v měsíci,Uge i måneden,Kuu nädal,Kuukauden viikko,Εβδομάδα του μήνα,Hónap hete,Mēneša nedēļa,Mėnesio savaitė,Săptămâna din lună,Týždeň v mesiaci,Teden v mesecu,Vecka i månaden,महीने का सप्ताह,Week van maand,Java e muajit,የወሩ ሳምንት,أسبوع من الشهر,Ամսվա շաբաթ,Ayın həftəsi,মাসের সপ্তাহ,Hilabeteko astea,Тыдзень месяца,လအတွင်းရက်ပတ်,Setmana del mes,Tjedan u mjesecu,Vika mánaðarins,Minggu dari bulan,ತಿಂಗಳ ವಾರ,Айдың аптасы,សប្តាហ៍នៃខែ,월의 주,Айдын аптасы,ອາທິດຂອງເດືອນ,Недела од месецот,Minggu dalam bulan,മാസത്തിലെ ആഴ്‌ച,Сарын долоо хоног,महिनाको हप्ता,Uke i måneden,هفته‌ی ماه,ਮਹੀਨੇ ਦਾ ਹਫ਼ਤਾ,Emna dal mais,මාසයේ සතිය,மாதத்தின் வாரம்,నెలలో వారం,สัปดาห์ของเดือน,Ayın haftası,Тиждень місяця,مہینے کا ہفتہ,Tuần của tháng,Iviki lenyanga,Linggo ng buwan,Semana do mes,თვის კვირა,שבוע בחודש,Nedelja u mesecu,મહિનાનું સપ્તાહ,Wiki ya mwezi
select_day_of_the_week,,Select day of the week,Wählen Sie den Wochentag aus,Seleccione el día de la semana,Sélectionnez le jour de la semaine,Selecione o dia da semana,Seleziona il giorno della settimana,Selecteer dag van de week,Wybierz dzień tygodnia,Выберите день недели,曜日を選択하세요,选择星期几,Selecione o dia da semana,Изберете ден от седмицата,Vyberte den v týdnu,Vælg ugedag,Vali nädalapäev,Valitse viikonpäivä,Επιλέξτε ημέρα της εβδομάδας,Válassza ki a hét napját,Izvēlieties nedēļas dienu,Pasirinkite savaitės dieną,Selectează ziua săptămânii,Vyberte deň v týždni,Izberite dan v tednu,Välj veckodag,सप्ताह का दिन चुनें,Kies dag van die week,Zgjidh ditën e javës,የሳምንቱን ቀን ይምረጡ,اختر يوم الأسبوع,Ընտրեք շաբաթվա օրը,Həftənin gününü seçin,সপ্তাহের দিন নির্বাচন করুন,Astegunaren hautatu,Выберыце дзень тыдня,အပတ်ရက်ကိုရွေးပါ။,Seleccioneu el dia de la setmana,Odaberite dan u tjednu,Veldu dag vikunnar,Pilih hari dalam seminggu,ವಾರದ ದಿನವನ್ನು ಆರಿಸಿ,Аптаның күнін таңдаңыз,ជ្រើសរើសថ្ងៃនៃសប្ដាហ៍,요일 선택,Аптанын күнүн тандаңыз,ເລືອກວັນໃນອາທິດ,Одберете ден од неделата,Pilih hari dalam minggu,ആഴ്ചയിലെ ദിവസം തിരഞ്ഞെടുക്കുക,Долоо хоногийн ямар өдөр сонгох,साताको दिन चयन गर्नुहोस्,Velg ukedag,روز هفته را انتخاب کنید,ਹਫ਼ਤੇ ਦਾ ਦਿਨ ਚੁਣੋ,Tscherna il di da l'emna,සතියේ දිනය තෝරන්න,வாரத்தின் நாளை தேர்ந்தெடுக்கவும்,వారంలో రోజుని ఎంచుకోండి,เลือกวันในสัปดาห์,Haftanın gününü seçin,Виберіть день тижня,ہفتے کا دن منتخب کریں,Chọn ngày trong tuần,Khetha usuku lwesonto,Pumili ng araw ng linggo,Seleccione o día da semana,კვირის დღის არჩევა,בחר יום בשבוע,Odaberite dan u nedelji,સપ્તાહનો દિવસ પસંદ કરો,Chagua siku ya wiki
